prev_hold_time,curr_hold_time,down_down,up_down,up_up,down_up,inter_key_total_time,timestamp
106.63157894736842,107.57894736842104,230.8947368421053,124.26315789473684,231.8421052631579,338.4736842105263,338.4736842105263,2025-03-27T18:49:36.202952+00:00
107.86842105263158,108.63157894736842,213.8421052631579,105.97368421052632,214.6052631578947,322.4736842105263,322.4736842105263,2025-03-27T18:49:36.203116+00:00
106.58333333333331,107.63888888888889,225.91666666666663,119.33333333333331,226.97222222222223,333.55555555555554,333.55555555555554,2025-03-27T18:49:36.203259+00:00
328.0833333333333,329.0,697.8888888888889,369.80555555555554,698.8055555555555,1026.888888888889,1026.888888888889,2025-03-27T18:50:37.752864+00:00
111.36111111111111,112.11111111111111,250.19444444444449,138.83333333333334,250.94444444444449,362.30555555555554,362.30555555555554,2025-03-27T18:50:37.753015+00:00
111.3529411764706,109.47058823529412,245.02941176470588,133.6764705882353,243.14705882352945,354.5,354.5,2025-03-27T18:50:37.753160+00:00
116.91176470588236,116.88235294117646,196.7941176470588,79.88235294117646,196.76470588235293,313.6764705882353,313.6764705882353,2025-03-27T18:51:18.669459+00:00
114.5,112.47368421052632,221.18421052631575,106.6842105263158,219.1578947368421,333.6578947368421,333.6578947368421,2025-03-27T18:51:18.669625+00:00
110.80555555555556,112.33333333333331,277.3611111111111,166.55555555555554,278.8888888888889,389.69444444444446,389.69444444444446,2025-03-27T18:51:18.669769+00:00
483.05555555555554,474.6388888888889,861.8055555555555,378.75,853.3888888888889,1336.4444444444443,1336.4444444444443,2025-03-27T18:52:31.169443+00:00
365.55555555555554,362.30555555555554,623.5555555555555,258.0,620.3055555555555,985.8611111111111,985.8611111111111,2025-03-27T18:52:31.169603+00:00
117.11764705882354,117.3529411764706,194.7058823529412,77.58823529411765,194.94117647058823,312.05882352941177,312.05882352941177,2025-03-27T18:52:31.169747+00:00
